route_id,angle,num_holds,height,wall_type,hold_type,setter_experience,completion_rate,average_attempts,grade_v_scale
1,30,24,3.738208200734718,overhang,pinches,9,0.7489464259331828,7,7
2,70,16,2.1243671946302234,vertical,mixed,1,0.3093401971737667,3,15
3,50,8,3.7268464564887305,vertical,jugs,3,0.2885527628201138,2,16
4,40,20,3.2755071870681483,vertical,pinches,9,0.708525590740013,5,7
5,20,23,3.7996680875607827,vertical,mixed,2,0.3113175328341152,7,14
6,20,20,2.660937332734659,slab,mixed,4,,3,13
7,0,21,1.804514105569086,overhang,crimps,4,0.95,2,0
8,60,10,3.2193077544211683,vertical,pinches,2,0.30969052141672865,5,14
9,40,13,2.663269864914321,overhang,jugs,3,0.8984310143273845,7,5
10,50,12,2.075554653431614,vertical,mixed,3,0.8435597633487786,3,7
11,0,22,4.114386615755656,slab,jugs,1,0.9183845010971956,6,0
12,70,9,4.780990581713633,overhang,crimps,6,0.6794945394909447,3,4
13,50,17,2.86243885138036,overhang,pinches,8,0.5926960900171765,2,10
14,20,20,3.439383338222837,vertical,jugs,3,0.5952592477233127,2,8
15,20,12,3.2537715066561503,overhang,mixed,5,0.95,2,2
16,20,8,2.9728812624190377,overhang,mixed,1,,2,16
17,30,8,4.030989771110416,overhang,slopers,7,0.3947800591964822,3,12
18,40,22,4.308113168342895,vertical,crimps,1,0.8852840488988288,3,0
19,30,24,2.8051142485875165,vertical,slopers,9,0.8027404959090831,2,7
20,30,18,3.535813493675923,slab,crimps,8,0.2866316025915813,2,15
21,40,24,4.527626427147116,overhang,crimps,7,0.4793828799460429,4,12
22,20,20,4.051228962571978,vertical,mixed,7,0.95,4,2
23,30,8,4.170157950720391,vertical,crimps,5,0.251574164806917,2,16
24,30,9,4.594388245953931,slab,jugs,5,0.295407117125984,4,16
25,40,16,4.5838761378986,vertical,mixed,5,0.517093159017748,5,11
26,50,10,4.322914104242453,overhang,jugs,1,0.8495824511516092,4,5
27,20,8,3.615949931824945,overhang,crimps,8,0.5778244335510326,4,11
28,40,23,3.1940135860335266,vertical,mixed,1,0.8904886268745171,6,2
29,40,13,3.582782212250548,overhang,crimps,4,0.30636490614965184,3,16
30,0,24,3.072474651181305,vertical,pinches,9,0.8753220988476511,2,2
31,40,12,1.938010501591454,vertical,mixed,9,0.23973875930805558,2,14
32,20,12,3.276400747359968,overhang,mixed,5,0.6320100857398129,4,9
33,0,13,3.786020995069776,overhang,slopers,4,0.5767191760833068,3,14
34,60,10,3.030184465787057,overhang,jugs,3,0.7803780859308938,7,3
35,70,12,3.3457761702091138,overhang,crimps,3,0.22269702903972974,1,16
36,50,12,3.3767706272266143,vertical,mixed,5,0.387927222835626,4,12
37,30,17,4.585485419375111,vertical,mixed,1,0.8537091778723123,5,5
38,0,17,3.2124501807800785,vertical,slopers,5,0.43234854541964407,6,14
39,40,24,4.585306705746763,vertical,crimps,6,0.95,2,0
40,30,21,1.330007606521621,vertical,crimps,7,0.9081980938361035,3,0
41,20,16,4.57828462506323,vertical,crimps,9,0.7029876791639925,3,7
42,40,21,4.5379248918901,vertical,pinches,3,0.4060377872664196,3,10
43,0,8,4.221803738711353,vertical,jugs,2,0.31434265668574934,5,16
44,60,20,1.8904655974369826,overhang,mixed,3,0.4309024386087934,4,15
45,30,20,4.315109596177985,overhang,pinches,9,0.4811300863366321,3,9
46,40,11,3.4599046594597995,vertical,crimps,7,0.3217481723170337,2,12
47,30,8,1.4765300480602717,slab,slopers,9,0.5016937891694859,3,15
48,40,24,4.5385421662677565,overhang,jugs,2,0.6325740360495415,5,7
49,40,15,4.6553384628391745,vertical,slopers,5,0.5448447845943822,4,13
50,20,9,1.9763903425078628,overhang,pinches,4,0.8533502334802169,5,3
51,70,15,3.6403368602400903,overhang,mixed,2,0.2838045183058673,3,16
52,50,14,4.610872897155346,overhang,mixed,9,0.5625912699496646,4,11
53,60,9,4.484129050765717,vertical,crimps,9,0.21160011432535597,1,16
54,60,10,4.168848840927619,overhang,crimps,6,0.6194997143495645,4,9
55,40,19,1.382197696081993,vertical,pinches,6,0.8306010585175907,4,3
56,60,8,4.083634213308652,overhang,crimps,8,0.29920065565949683,4,13
57,0,19,3.3255168813008456,overhang,jugs,6,0.42124820747263997,2,14
58,20,12,4.296686022974796,overhang,crimps,1,0.8424192193122084,4,3
59,0,24,3.7049291667470596,overhang,slopers,4,0.3717975171555293,2,14
60,30,23,3.484094711768908,overhang,crimps,7,0.39773390565858424,5,11
61,30,22,4.0127230795273885,vertical,slopers,2,0.7653900367762804,1,9
62,30,22,3.3624693031425936,vertical,mixed,9,0.95,5,1
63,50,12,3.4805781760864463,overhang,crimps,8,0.6589155884171979,4,10
64,30,21,3.0558208006969907,vertical,crimps,8,0.7944555297558318,3,4
65,30,9,2.21567280705235,vertical,jugs,7,0.3020817110496581,3,12
66,40,18,3.954282779017017,vertical,mixed,4,0.5390417382489511,5,15
67,20,14,2.855175744263544,vertical,crimps,2,0.8188902491994131,4,4
68,50,13,3.3393665071674126,slab,jugs,3,0.2688700203979946,4,15
69,0,9,3.7295791667631466,overhang,crimps,6,0.34168015744831143,4,16
70,70,13,1.8318258851476488,slab,pinches,5,0.8979620788003297,8,5
71,50,9,2.010920877058541,overhang,jugs,8,0.7351949443914534,7,6
72,20,22,3.2602091387126375,overhang,pinches,6,0.5591075167939374,3,13
73,0,9,3.8636507858397247,vertical,mixed,6,0.4082999938516869,1,16
74,50,13,4.095230616519329,overhang,crimps,1,0.6736118812597942,4,5
75,50,8,2.226948403299274,vertical,mixed,4,0.2326209894340524,5,16
76,50,22,4.009305187530252,overhang,crimps,5,0.5707537163279768,2,12
77,50,17,3.303944305346931,overhang,mixed,3,0.6849887436189562,2,1
78,0,24,2.7934742039228184,vertical,slopers,9,0.591304430683501,7,9
79,30,12,2.9811585151525035,slab,mixed,1,0.6819168798375328,9,4
80,20,11,4.141485865632133,overhang,crimps,6,0.5148446198566475,2,10
81,60,17,3.719204628068457,overhang,crimps,6,0.7513679910970796,3,5
82,40,24,3.5402452182042565,vertical,jugs,5,0.95,5,0
83,30,17,3.69479659104632,overhang,jugs,5,0.28852387478873914,5,15
84,0,24,4.242478221292955,overhang,crimps,5,0.6715356350371186,5,5
85,30,12,3.4223203460773415,vertical,jugs,6,0.95,3,6
86,30,9,3.5434551091633892,vertical,crimps,8,0.7492462004161351,6,10
87,50,13,4.410536592110244,overhang,jugs,2,0.2712934179743718,6,14
88,40,9,3.234730700589473,vertical,mixed,6,0.6332116751303568,3,12
89,60,20,3.9945124762245454,overhang,jugs,1,0.3038034509527147,3,15
90,40,18,3.0970364154614867,slab,crimps,4,0.35666874733317105,7,15
91,20,18,3.1673061268705722,overhang,jugs,3,0.95,8,0
92,50,23,3.4167601945602906,vertical,crimps,9,0.5402751358746034,3,9
93,50,18,3.9122182823894125,overhang,mixed,3,0.5733852343606147,4,12
94,40,22,4.455345570040855,vertical,crimps,6,,3,6
95,50,23,3.5772362108310203,vertical,pinches,1,0.5148448576780759,7,10
96,40,18,2.3001304709411645,overhang,mixed,6,0.4757910556199527,2,9
97,40,23,4.005157034827151,vertical,mixed,4,0.429390498628088,5,11
98,30,15,5.463073739316568,vertical,slopers,8,0.13586198843979036,2,16
99,0,11,3.5869350648538805,overhang,mixed,9,0.7387223548415169,2,6
100,20,15,2.1329858886563366,vertical,mixed,4,0.7928334407715604,4,2
101,0,11,3.635722311576681,vertical,slopers,6,0.44844394874814597,5,12
102,40,10,3.497589917452929,overhang,slopers,1,0.7870101853610372,6,8
103,30,10,3.4303129253100884,overhang,slopers,4,,3,10
104,40,12,4.256327919981706,overhang,slopers,7,0.4280223105897382,5,13
105,60,17,4.60261982906858,vertical,slopers,1,0.6412915273856851,4,8
106,20,13,4.046868596160866,overhang,jugs,8,0.95,4,1
107,30,8,3.3935535322631454,vertical,crimps,6,0.5270756120358712,2,12
108,50,12,4.400543027495704,vertical,crimps,5,0.8797193540123477,5,2
109,20,16,2.3049362870286076,overhang,crimps,9,0.33239818828795487,2,12
110,0,19,2.9271551034128045,vertical,crimps,2,0.4268873218164744,5,14
111,30,21,3.0162977771186164,vertical,crimps,5,0.6891823772582862,2,9
112,20,9,3.4752394816544525,overhang,slopers,6,0.8930848475486357,2,1
113,60,24,3.90538772998947,overhang,crimps,7,,3,6
114,50,21,3.339429641330173,overhang,mixed,5,0.3511426705084972,1,14
115,40,20,2.7751713643981804,vertical,crimps,9,0.41284676008009974,2,13
116,60,16,4.279880227756904,vertical,crimps,1,0.09496779424376686,3,15
117,50,22,3.311634622236245,vertical,pinches,7,0.4090718596283865,3,13
118,20,22,3.581703136696827,vertical,slopers,7,0.7469369302408054,1,8
119,60,18,3.940854196380726,overhang,crimps,4,0.2806097444433442,4,15
120,40,23,3.5311020863383575,overhang,mixed,9,0.3927526368215317,4,14
121,50,24,3.534617355795432,overhang,mixed,5,,4,5
122,60,11,4.324378736348664,overhang,jugs,4,0.5110441676292774,2,12
123,30,8,3.621095579656301,overhang,jugs,7,0.2783476802463827,2,16
124,20,15,4.1902375886323915,overhang,mixed,4,0.5560758459317994,7,8
125,20,24,3.9357339554547117,vertical,slopers,3,0.5207551467665128,1,14
126,30,10,5.113510035349533,overhang,slopers,9,0.5241432013532216,3,13
127,50,22,3.827530734295304,overhang,mixed,8,0.7645093236071825,5,4
128,60,22,4.010378616120619,vertical,crimps,1,0.6122788309417777,6,10
129,0,21,4.381325371197094,vertical,jugs,7,0.95,4,1
130,40,21,3.5508942079601358,slab,crimps,9,0.95,3,2
131,30,9,2.989717522616447,vertical,pinches,8,0.6555744104004921,3,4
132,20,20,3.1206835351012345,vertical,slopers,8,0.4444106541032628,5,15
133,20,21,3.1283944595980095,overhang,slopers,6,0.7680301037074269,5,4
134,30,14,2.739735225442625,overhang,crimps,4,0.7892172066558732,2,4
135,60,10,3.7542441353615073,overhang,crimps,8,0.60753817522602,6,15
136,30,22,2.996386761560733,overhang,jugs,3,0.5926873380721012,2,10
137,40,21,3.6558822569614775,vertical,pinches,9,0.95,5,0
138,50,18,3.373060445031491,overhang,slopers,2,0.29822056272440944,3,11
139,30,22,3.466702805365988,vertical,crimps,2,0.95,6,1
140,70,20,3.9448453182630847,overhang,mixed,7,0.20922903291913975,3,15
141,70,13,3.0664807004891617,overhang,crimps,4,0.28715610965004973,7,14
142,30,10,4.011112836749419,vertical,mixed,8,0.4856147700912151,3,11
143,40,22,4.753846293311161,vertical,crimps,9,0.8791411791700293,2,6
144,30,12,3.774487266361407,vertical,slopers,7,0.4210739986665759,4,15
145,30,17,2.874323451782025,vertical,crimps,5,0.809216249015974,5,4
146,0,14,3.007985590928163,vertical,mixed,8,0.8995792063638821,4,3
147,40,24,3.3013896793719075,overhang,jugs,4,0.8524614307128894,6,2
148,40,14,3.0240877623443474,overhang,crimps,2,0.3577153689565351,5,15
149,0,19,2.7070557523119603,vertical,jugs,6,0.3510836744778137,4,15
150,30,24,3.6235258215693533,vertical,crimps,9,0.6593769895681354,2,10
151,60,20,3.323042134619361,vertical,crimps,1,0.95,4,3
152,20,11,3.6517767068464466,overhang,mixed,7,0.6556477382205644,2,9
153,20,17,4.449109929772231,vertical,jugs,9,0.3950152442453898,2,13
154,40,10,3.3109177328605126,overhang,pinches,9,0.5929322294390127,5,11
155,70,16,2.5516639962557512,overhang,slopers,3,0.9033031533796954,4,2
156,20,20,3.1808860061971593,overhang,slopers,5,0.8480585631286868,4,1
157,40,22,4.116340173693314,overhang,crimps,8,0.5221712208089061,3,10
158,50,11,4.041416216573564,vertical,crimps,8,,7,2
159,20,22,3.9149117180908535,slab,pinches,4,0.95,4,0
160,50,9,3.0002346214703173,vertical,mixed,1,0.7628971827842846,2,5
161,30,22,4.101522094426159,vertical,crimps,1,0.7478301288760394,5,3
162,40,15,4.2815192624296525,overhang,crimps,4,0.95,1,1
163,40,15,2.943662696088019,slab,jugs,6,0.8363456040056552,6,4
164,40,24,3.46674392196598,overhang,mixed,8,0.9310837628902753,6,2
165,0,19,5.11632157094569,vertical,crimps,6,0.435737151595443,2,15
166,50,17,2.90810057882929,vertical,jugs,9,0.4893923240089899,2,14
167,30,16,2.13593066460502,slab,mixed,9,0.9405789127618334,3,0
168,20,12,4.606323547571839,vertical,crimps,2,0.28213565419510567,5,15
169,0,13,4.409283817363648,overhang,crimps,1,0.8084801289044526,4,2
170,40,9,3.13442614113806,overhang,slopers,2,0.6323815670280476,5,10
171,40,20,3.409606574505531,overhang,mixed,5,0.95,5,3
172,0,13,2.5200519598488382,vertical,crimps,4,0.7934918072091076,4,4
173,40,12,3.5711618180877616,overhang,jugs,4,0.49460694352750073,2,11
174,20,8,4.43273097229712,vertical,jugs,9,0.7529282556898975,4,9
175,40,13,3.0659161265933776,overhang,jugs,8,0.9193057853215008,3,3
176,20,13,4.201681583029034,overhang,slopers,6,0.8248735704801056,4,5
177,40,23,3.870979085912346,overhang,jugs,1,0.48715834940262726,5,9
178,30,11,3.962253512704912,vertical,jugs,2,0.6741228069279419,5,9
179,60,18,3.112552655530905,slab,jugs,6,0.25083636594902414,5,15
180,20,16,3.2163006536532044,overhang,slopers,2,0.8428479814065042,1,1
181,30,10,2.0225820524228784,vertical,slopers,5,0.8778228423233287,1,2
182,20,15,3.0466644699919154,vertical,mixed,5,0.372670727655131,8,13
183,60,12,4.430788366425007,overhang,crimps,6,0.2778400305614961,4,16
184,60,11,2.756534244718181,overhang,mixed,6,0.19965183654750812,5,15
185,30,13,2.8757586769144763,overhang,mixed,6,0.3958816306467673,5,16
186,40,9,4.012151858965699,vertical,crimps,2,0.4565186294516429,4,15
187,50,18,3.822214633594475,vertical,jugs,3,0.2802657525859187,6,12
188,40,11,4.051890599837041,overhang,jugs,6,0.3978457805666551,2,16
189,40,22,2.569423567927677,vertical,crimps,8,0.9189471370178374,5,0
190,20,13,5.5512463594402774,overhang,jugs,1,0.5606975536982787,2,12
191,0,24,2.5273973006661996,slab,crimps,1,0.8619053507333585,5,3
192,60,13,3.6233978509872546,slab,crimps,2,0.3028775564080999,5,16
193,60,9,3.373075603305131,slab,mixed,6,0.3689902350578782,2,14
194,40,22,2.550686786107962,overhang,crimps,9,0.9462129204233486,3,4
195,30,18,3.2038324617494003,vertical,mixed,4,0.6135411987474972,4,6
196,30,15,3.5186460807086957,overhang,slopers,3,0.95,3,1
197,50,20,2.980021430509224,overhang,mixed,8,0.95,5,1
198,60,19,4.24977889722788,overhang,slopers,9,0.8528840080540411,3,5
199,60,12,3.3706994036300233,vertical,crimps,5,0.9262198914323418,9,7
200,50,13,2.4269802631853707,overhang,slopers,9,0.24710532372753016,5,16
201,40,11,2.3590995738645626,vertical,crimps,2,0.39573048225935314,5,16
202,0,8,3.984932072489165,overhang,jugs,3,0.37689093646585803,2,14
203,20,24,2.310583373839731,overhang,mixed,7,,4,0
204,60,19,3.753140858439267,overhang,crimps,7,0.4304811004278631,4,13
205,40,22,3.855724148533567,vertical,jugs,6,0.611212421813753,4,8
206,0,8,2.7037157088607864,slab,pinches,6,0.6931072203871629,8,10
207,20,21,4.212590467019912,overhang,mixed,2,0.6883438060981071,4,6
208,40,13,2.1257651009906944,vertical,slopers,6,0.2899774241099444,3,13
209,0,12,3.737167147198847,vertical,crimps,4,0.8608153116826172,2,2
210,20,18,3.467313653123193,vertical,slopers,3,0.95,4,0
211,40,11,3.4048016194152853,vertical,crimps,2,0.4392038751587092,4,16
212,40,20,2.557682685615542,slab,pinches,1,0.4861129375296513,1,12
213,40,18,2.7503823964800596,overhang,mixed,5,0.6068197067234027,4,12
214,20,10,4.7950416200164785,overhang,pinches,2,0.8204325078522406,6,1
215,50,8,4.472124007097403,vertical,mixed,2,0.7806736535182097,5,4
216,20,13,4.093667670819039,vertical,crimps,7,0.95,5,0
217,30,17,4.25187848282375,overhang,pinches,8,0.813544057252748,6,4
218,50,12,4.176810835737015,vertical,mixed,8,0.8334094388250196,3,4
219,40,17,3.241315030171033,overhang,crimps,4,0.8065910957392193,4,6
220,50,19,3.538082841451481,slab,mixed,1,0.38676931618295096,4,13
221,40,9,2.321993297567193,overhang,crimps,7,0.6639028686953126,5,8
222,40,20,3.428243498553979,overhang,slopers,1,0.95,2,0
223,0,15,4.446731399631349,vertical,mixed,4,0.7324110096108849,3,4
224,30,9,2.9714342013942914,vertical,slopers,8,0.2886333310918565,4,16
225,30,8,4.318512963749781,vertical,crimps,2,0.5918840470102882,3,9
226,20,12,3.5732685909550104,overhang,slopers,6,0.37099194349969544,4,14
227,70,16,2.391702507464214,vertical,slopers,6,,6,5
228,30,24,2.614144389322951,vertical,mixed,9,0.95,2,0
229,60,16,4.235442295766204,overhang,jugs,5,0.738020482089267,2,5
230,40,18,3.942019268206708,vertical,jugs,4,0.95,2,0
231,50,22,3.5814112583901,vertical,pinches,5,0.7080519370796983,2,4
232,40,13,3.2807745486016433,vertical,jugs,5,0.6654029891530104,2,6
233,40,10,3.6684543821028686,slab,slopers,8,0.95,2,3
234,40,24,4.2042369994026,overhang,slopers,8,0.896200864501077,4,0
235,20,12,4.680682624389828,overhang,mixed,2,0.7333745325290242,3,3
236,50,19,4.718947359552484,vertical,slopers,7,0.7671976745001219,6,7
237,30,21,3.7975679206067987,slab,slopers,8,0.7922880146226126,6,0
238,0,18,3.3624546477083834,overhang,crimps,6,,3,0
239,40,16,3.6169984062550844,vertical,crimps,5,0.9083324925076489,3,7
240,20,9,3.917696285804064,overhang,crimps,9,0.14550640778465998,5,16
241,60,19,3.914453555076073,vertical,crimps,3,0.23305355142612869,1,13
242,70,10,4.546389309712084,overhang,slopers,4,0.2813318798042302,3,13
243,60,10,5.192604577533324,overhang,pinches,9,0.47733595683469865,4,14
244,30,8,3.3357962963087306,vertical,slopers,6,0.95,4,2
245,0,15,5.22470792705957,slab,mixed,8,0.554991120302149,4,9
246,60,15,4.4377913974067145,overhang,mixed,7,0.6308212404001069,2,10
247,30,18,3.4193416078518335,overhang,mixed,2,0.95,4,2
248,70,16,4.698851871092064,vertical,slopers,3,0.7412346414429826,2,10
249,70,12,4.848518641135332,vertical,slopers,1,0.4503664718820153,3,12
